Code,Borough,Year,Offences,Rate,Number_of_offences
E09000023,Lewisham,2000-01,All recorded offences,110.3,"27,814"
E09000024,Merton,2000-01,All recorded offences,88,"16,569"
E09000025,Newham,2000-01,All recorded offences,158,"38,776"
E09000026,Redbridge,2000-01,All recorded offences,105.2,"25,226"
E09000027,Richmond upon Thames,2000-01,All recorded offences,84.9,"14,683"
E09000028,Southwark,2000-01,All recorded offences,160,"40,447"
E09000029,Sutton,2000-01,All recorded offences,77.2,"13,938"
E09000030,Tower Hamlets,2000-01,All recorded offences,177.9,"35,070"
E09000031,Waltham Forest,2000-01,All recorded offences,116.5,"25,771"
E09000032,Wandsworth,2000-01,All recorded offences,129.8,"34,756"
E09000033,Westminster,2000-01,All recorded offences,424.4,"83,379"
#N/A,Heathrow,2000-01,All recorded offences,n/a,"6,490"
E13000001,Inner London,2000-01,All recorded offences,186.8,"523,929"
E13000002,Outer London,2000-01,All recorded offences,104.5,"463,187"
E12000007,Met Police Area,2000-01,All recorded offences,137.4,"994,233"
727,England and Wales,2000-01,All recorded offences,n/a,n/a
E09000002,Barking and Dagenham,2001-02,All recorded offences,124,"20,538"
E09000003,Barnet,2001-02,All recorded offences,101,"32,274"
E09000004,Bexley,2001-02,All recorded offences,96.9,"21,200"
E09000005,Brent,2001-02,All recorded offences,123.4,"33,276"
E09000006,Bromley,2001-02,All recorded offences,96.7,"28,638"
E09000007,Camden,2001-02,All recorded offences,262.2,"53,103"
E09000008,Croydon,2001-02,All recorded offences,111.8,"37,450"
E09000009,Ealing,2001-02,All recorded offences,127.3,"39,128"
E09000010,Enfield,2001-02,All recorded offences,106,"29,401"
E09000011,Greenwich,2001-02,All recorded offences,133.3,"28,995"
E09000012,Hackney,2001-02,All recorded offences,191.9,"39,769"
E09000013,Hammersmith and Fulham,2001-02,All recorded offences,174.1,"29,487"
E09000014,Haringey,2001-02,All recorded offences,170.2,"37,661"
E09000015,Harrow,2001-02,All recorded offences,86.7,"18,217"
E09000016,Havering,2001-02,All recorded offences,97.3,"21,868"
E09000017,Hillingdon,2001-02,All recorded offences,118.4,"29,074"
E09000018,Hounslow,2001-02,All recorded offences,138.6,"29,929"
E09000019,Islington,2001-02,All recorded offences,209.7,"37,611"
E09000020,Kensington and Chelsea,2001-02,All recorded offences,182.5,"29,605"
E09000021,Kingston upon Thames,2001-02,All recorded offences,92.7,"13,811"
E09000022,Lambeth,2001-02,All recorded offences,208.8,"57,092"
E09000023,Lewisham,2001-02,All recorded offences,114.1,"29,008"
E09000024,Merton,2001-02,All recorded offences,92.9,"17,747"
E09000025,Newham,2001-02,All recorded offences,162.8,"40,616"
E09000026,Redbridge,2001-02,All recorded offences,115.8,"28,001"
E09000027,Richmond upon Thames,2001-02,All recorded offences,92.1,"16,057"
E09000028,Southwark,2001-02,All recorded offences,178,"45,707"
E09000029,Sutton,2001-02,All recorded offences,84.6,"15,359"
E09000030,Tower Hamlets,2001-02,All recorded offences,185.4,"37,273"
E09000031,Waltham Forest,2001-02,All recorded offences,136.3,"30,260"
E09000032,Wandsworth,2001-02,All recorded offences,131.4,"35,717"
E09000033,Westminster,2001-02,All recorded offences,424.3,"86,270"
#N/A,Heathrow,2001-02,All recorded offences,n/a,"6,371"
E13000001,Inner London,2001-02,All recorded offences,195.5,"558,919"
E13000002,Outer London,2001-02,All recorded offences,110.1,"491,223"
E12000007,Met Police Area,2001-02,All recorded offences,144.4,"1,057,360"
727,England and Wales,2001-02,All recorded offences,n/a,n/a
E09000002,Barking and Dagenham,2002-03,All recorded offences,122.6,"20,394"
E09000003,Barnet,2002-03,All recorded offences,107.1,"34,338"
E09000004,Bexley,2002-03,All recorded offences,90.1,"19,752"
E09000005,Brent,2002-03,All recorded offences,124.3,"33,537"
E09000006,Bromley,2002-03,All recorded offences,102.1,"30,276"
E09000007,Camden,2002-03,All recorded offences,264.2,"53,890"
E09000008,Croydon,2002-03,All recorded offences,115.1,"38,618"
E09000009,Ealing,2002-03,All recorded offences,129.8,"40,147"
E09000010,Enfield,2002-03,All recorded offences,107,"30,042"
E09000011,Greenwich,2002-03,All recorded offences,140.9,"31,202"
E09000012,Hackney,2002-03,All recorded offences,186.1,"39,267"
E09000013,Hammersmith and Fulham,2002-03,All recorded offences,174.4,"30,003"
E09000014,Haringey,2002-03,All recorded offences,173.8,"39,017"
E09000015,Harrow,2002-03,All recorded offences,92.2,"19,573"
E09000016,Havering,2002-03,All recorded offences,95.7,"21,537"
E09000017,Hillingdon,2002-03,All recorded offences,118.2,"29,214"
E09000018,Hounslow,2002-03,All recorded offences,151.4,"32,842"
E09000019,Islington,2002-03,All recorded offences,218.9,"39,425"
E09000020,Kensington and Chelsea,2002-03,All recorded offences,194.8,"31,921"
E09000021,Kingston upon Thames,2002-03,All recorded offences,95.8,"14,330"
E09000022,Lambeth,2002-03,All recorded offences,198.5,"54,188"
E09000023,Lewisham,2002-03,All recorded offences,113.4,"28,763"
E09000024,Merton,2002-03,All recorded offences,93.8,"17,880"
E09000025,Newham,2002-03,All recorded offences,161.2,"41,157"
E09000026,Redbridge,2002-03,All recorded offences,117.6,"28,737"
E09000027,Richmond upon Thames,2002-03,All recorded offences,95.8,"16,814"
E09000028,Southwark,2002-03,All recorded offences,179.3,"45,960"
E09000029,Sutton,2002-03,All recorded offences,82.7,"14,987"
E09000030,Tower Hamlets,2002-03,All recorded offences,198.6,"41,124"
E09000031,Waltham Forest,2002-03,All recorded offences,144.2,"32,264"
E09000032,Wandsworth,2002-03,All recorded offences,131.7,"36,204"
E09000033,Westminster,2002-03,All recorded offences,414,"86,151"
#N/A,Heathrow,2002-03,All recorded offences,n/a,"6,323"
E13000001,Inner London,2002-03,All recorded offences,196.2,"567,070"
E13000002,Outer London,2002-03,All recorded offences,112.9,"506,484"
E12000007,Met Police Area,2002-03,All recorded offences,146.5,"1,080,741"
727,England and Wales,2002-03,All recorded offences,112.2,"5,899,450"
E09000002,Barking and Dagenham,2003-04,All recorded offences,133.2,"22,144"
E09000003,Barnet,2003-04,All recorded offences,112.8,"36,288"
E09000004,Bexley,2003-04,All recorded offences,92.5,"20,344"
E09000005,Brent,2003-04,All recorded offences,133.6,"35,837"
E09000006,Bromley,2003-04,All recorded offences,104,"30,918"
E09000007,Camden,2003-04,All recorded offences,249.8,"51,016"
E09000008,Croydon,2003-04,All recorded offences,110.3,"37,043"
E09000009,Ealing,2003-04,All recorded offences,123.1,"37,927"
E09000010,Enfield,2003-04,All recorded offences,106.4,"29,998"
E09000011,Greenwich,2003-04,All recorded offences,139.8,"31,347"
E09000012,Hackney,2003-04,All recorded offences,183.8,"39,035"
E09000013,Hammersmith and Fulham,2003-04,All recorded offences,167,"28,650"
E09000014,Haringey,2003-04,All recorded offences,163.6,"36,807"
E09000015,Harrow,2003-04,All recorded offences,86.2,"18,430"
E09000016,Havering,2003-04,All recorded offences,98.4,"22,165"
E09000017,Hillingdon,2003-04,All recorded offences,118.3,"29,349"
E09000018,Hounslow,2003-04,All recorded offences,140.5,"30,416"
E09000019,Islington,2003-04,All recorded offences,225.6,"40,816"
E09000020,Kensington and Chelsea,2003-04,All recorded offences,180.8,"29,873"
E09000021,Kingston upon Thames,2003-04,All recorded offences,109,"16,309"
E09000022,Lambeth,2003-04,All recorded offences,183.5,"49,937"
E09000023,Lewisham,2003-04,All recorded offences,125.3,"31,577"
E09000024,Merton,2003-04,All recorded offences,99,"18,738"
E09000025,Newham,2003-04,All recorded offences,158.5,"40,615"
E09000026,Redbridge,2003-04,All recorded offences,114.9,"28,438"
E09000027,Richmond upon Thames,2003-04,All recorded offences,87.2,"15,446"
E09000028,Southwark,2003-04,All recorded offences,181.3,"46,276"
E09000029,Sutton,2003-04,All recorded offences,89.1,"16,154"
E09000030,Tower Hamlets,2003-04,All recorded offences,187.8,"39,188"
E09000031,Waltham Forest,2003-04,All recorded offences,137.9,"30,912"
E09000032,Wandsworth,2003-04,All recorded offences,121.3,"33,567"
E09000033,Westminster,2003-04,All recorded offences,375.8,"79,296"
#N/A,Heathrow,2003-04,All recorded offences,n/a,"6,071"
E13000001,Inner London,2003-04,All recorded offences,188.6,"546,653"
E13000002,Outer London,2003-04,All recorded offences,113,"508,203"
E12000007,Met Police Area,2003-04,All recorded offences,143.5,"1,060,930"
727,England and Wales,2003-04,All recorded offences,112.3,"5,934,580"
E09000002,Barking and Dagenham,2004-05,All recorded offences,129.5,"21,442"
E09000003,Barnet,2004-05,All recorded offences,117,"37,887"
E09000004,Bexley,2004-05,All recorded offences,85.4,"18,859"
E09000005,Brent,2004-05,All recorded offences,132.6,"35,582"
E09000006,Bromley,2004-05,All recorded offences,103.5,"30,761"
E09000007,Camden,2004-05,All recorded offences,219.1,"45,432"
E09000008,Croydon,2004-05,All recorded offences,103.8,"35,004"
E09000009,Ealing,2004-05,All recorded offences,117.4,"36,418"
E09000010,Enfield,2004-05,All recorded offences,99.7,"28,131"
E09000011,Greenwich,2004-05,All recorded offences,137.3,"31,186"
E09000012,Hackney,2004-05,All recorded offences,170.9,"36,492"
E09000013,Hammersmith and Fulham,2004-05,All recorded offences,157.7,"27,139"
E09000014,Haringey,2004-05,All recorded offences,157,"35,553"
E09000015,Harrow,2004-05,All recorded offences,83.7,"18,107"
E09000016,Havering,2004-05,All recorded offences,94.9,"21,431"
E09000017,Hillingdon,2004-05,All recorded offences,111.8,"27,800"
E09000018,Hounslow,2004-05,All recorded offences,127.2,"27,908"
E09000019,Islington,2004-05,All recorded offences,209.9,"37,956"
E09000020,Kensington and Chelsea,2004-05,All recorded offences,161.8,"26,812"
E09000021,Kingston upon Thames,2004-05,All recorded offences,103.9,"15,690"
E09000022,Lambeth,2004-05,All recorded offences,166.9,"45,784"
E09000023,Lewisham,2004-05,All recorded offences,138,"34,833"
E09000024,Merton,2004-05,All recorded offences,91.5,"17,281"
E09000025,Newham,2004-05,All recorded offences,143.3,"36,460"
E09000026,Redbridge,2004-05,All recorded offences,105.2,"26,173"
E09000027,Richmond upon Thames,2004-05,All recorded offences,85.4,"15,320"
E09000028,Southwark,2004-05,All recorded offences,170.1,"43,771"
E09000029,Sutton,2004-05,All recorded offences,93.6,"16,942"
E09000030,Tower Hamlets,2004-05,All recorded offences,172,"36,329"
E09000031,Waltham Forest,2004-05,All recorded offences,131.1,"29,491"
E09000032,Wandsworth,2004-05,All recorded offences,113.6,"31,641"
E09000033,Westminster,2004-05,All recorded offences,369.8,"79,338"
#N/A,Heathrow,2004-05,All recorded offences,n/a,"6,168"
E13000001,Inner London,2004-05,All recorded offences,177.5,"517,540"
E13000002,Outer London,2004-05,All recorded offences,108.8,"491,413"
E12000007,Met Police Area,2004-05,All recorded offences,136.6,"1,015,121"
727,England and Wales,2004-05,All recorded offences,104.7,"5,562,691"
E09000002,Barking and Dagenham,2005-06,All recorded offences,132.7,"22,062"
E09000003,Barnet,2005-06,All recorded offences,106.5,"34,871"
E09000004,Bexley,2005-06,All recorded offences,90,"20,011"
E09000005,Brent,2005-06,All recorded offences,129.7,"35,140"
E09000006,Bromley,2005-06,All recorded offences,102.8,"30,793"
E09000007,Camden,2005-06,All recorded offences,200.1,"42,236"
E09000008,Croydon,2005-06,All recorded offences,102.8,"34,859"
E09000009,Ealing,2005-06,All recorded offences,119.2,"37,295"
E09000010,Enfield,2005-06,All recorded offences,96.5,"27,473"
E09000011,Greenwich,2005-06,All recorded offences,136,"31,354"
E09000012,Hackney,2005-06,All recorded offences,159.9,"34,630"
E09000013,Hammersmith and Fulham,2005-06,All recorded offences,149.2,"25,861"
E09000014,Haringey,2005-06,All recorded offences,154.3,"35,367"
E09000015,Harrow,2005-06,All recorded offences,79.1,"17,481"
E09000016,Havering,2005-06,All recorded offences,95.9,"21,772"
E09000017,Hillingdon,2005-06,All recorded offences,112.9,"28,377"
E09000018,Hounslow,2005-06,All recorded offences,121.7,"27,233"
E09000019,Islington,2005-06,All recorded offences,201.9,"37,050"
E09000020,Kensington and Chelsea,2005-06,All recorded offences,146.9,"24,731"
E09000021,Kingston upon Thames,2005-06,All recorded offences,99.3,"15,141"
E09000022,Lambeth,2005-06,All recorded offences,151.2,"41,968"
E09000023,Lewisham,2005-06,All recorded offences,131,"33,387"
E09000024,Merton,2005-06,All recorded offences,90.8,"17,299"
E09000025,Newham,2005-06,All recorded offences,153.7,"39,020"
E09000026,Redbridge,2005-06,All recorded offences,98.1,"24,679"
E09000027,Richmond upon Thames,2005-06,All recorded offences,82,"14,891"
E09000028,Southwark,2005-06,All recorded offences,158.3,"41,432"
E09000029,Sutton,2005-06,All recorded offences,88.3,"16,077"
E09000030,Tower Hamlets,2005-06,All recorded offences,158.2,"33,756"
E09000031,Waltham Forest,2005-06,All recorded offences,132.9,"30,143"
E09000032,Wandsworth,2005-06,All recorded offences,106.4,"30,130"
E09000033,Westminster,2005-06,All recorded offences,320.8,"71,582"
#N/A,Heathrow,2005-06,All recorded offences,n/a,"6,024"
E13000001,Inner London,2005-06,All recorded offences,166.1,"491,150"
E13000002,Outer London,2005-06,All recorded offences,106.7,"486,951"
E12000007,Met Police Area,2005-06,All recorded offences,130.9,"984,125"
727,England and Wales,2005-06,All recorded offences,102.3,"5,480,128"
E09000002,Barking and Dagenham,2006-07,All recorded offences,127.9,"21,384"
E09000003,Barnet,2006-07,All recorded offences,90.4,"29,920"
E09000004,Bexley,2006-07,All recorded offences,76.1,"16,997"
E09000005,Brent,2006-07,All recorded offences,110.2,"30,474"
E09000006,Bromley,2006-07,All recorded offences,94.4,"28,424"
E09000007,Camden,2006-07,All recorded offences,201.1,"42,435"
E09000008,Croydon,2006-07,All recorded offences,92.6,"31,510"
E09000009,Ealing,2006-07,All recorded offences,116.5,"36,734"
E09000010,Enfield,2006-07,All recorded offences,94.1,"27,058"
E09000011,Greenwich,2006-07,All recorded offences,127.5,"29,829"
E09000012,Hackney,2006-07,All recorded offences,141.5,"31,160"
E09000013,Hammersmith and Fulham,2006-07,All recorded offences,145,"25,334"
E09000014,Haringey,2006-07,All recorded offences,131.2,"30,595"
E09000015,Harrow,2006-07,All recorded offences,70.8,"15,837"
E09000016,Havering,2006-07,All recorded offences,87.6,"19,997"
E09000017,Hillingdon,2006-07,All recorded offences,110.6,"28,144"
E09000018,Hounslow,2006-07,All recorded offences,107.3,"24,485"
E09000019,Islington,2006-07,All recorded offences,190.2,"35,248"
E09000020,Kensington and Chelsea,2006-07,All recorded offences,147.2,"24,328"
E09000021,Kingston upon Thames,2006-07,All recorded offences,85.3,"13,105"
E09000022,Lambeth,2006-07,All recorded offences,138.6,"38,868"
E09000023,Lewisham,2006-07,All recorded offences,124.6,"32,150"
E09000024,Merton,2006-07,All recorded offences,83.5,"16,078"
E09000025,Newham,2006-07,All recorded offences,138,"35,597"
E09000026,Redbridge,2006-07,All recorded offences,96.4,"24,646"
E09000027,Richmond upon Thames,2006-07,All recorded offences,73.5,"13,408"
E09000028,Southwark,2006-07,All recorded offences,148.4,"39,713"
E09000029,Sutton,2006-07,All recorded offences,84.3,"15,408"
E09000030,Tower Hamlets,2006-07,All recorded offences,149.4,"32,627"
E09000031,Waltham Forest,2006-07,All recorded offences,125.4,"28,927"
E09000032,Wandsworth,2006-07,All recorded offences,104.5,"30,039"
E09000033,Westminster,2006-07,All recorded offences,297.4,"66,267"
#N/A,Heathrow,2006-07,All recorded offences,n/a,"5,053"
E13000001,Inner London,2006-07,All recorded offences,155.3,"464,361"
E13000002,Outer London,2006-07,All recorded offences,98.2,"452,365"
E12000007,Met Police Area,2006-07,All recorded offences,121.3,"921,779"
727,England and Wales,2006-07,All recorded offences,99.2,"5,351,868"
E09000002,Barking and Dagenham,2007-08,All recorded offences,115.6,"19,536"
E09000003,Barnet,2007-08,All recorded offences,79.6,"26,645"
E09000004,Bexley,2007-08,All recorded offences,74.8,"16,811"
E09000005,Brent,2007-08,All recorded offences,99.3,"28,126"
E09000006,Bromley,2007-08,All recorded offences,83.3,"25,195"
E09000007,Camden,2007-08,All recorded offences,167.4,"35,398"
E09000008,Croydon,2007-08,All recorded offences,88.9,"30,587"
E09000009,Ealing,2007-08,All recorded offences,106.6,"33,963"
E09000010,Enfield,2007-08,All recorded offences,86.7,"25,275"
E09000011,Greenwich,2007-08,All recorded offences,129.4,"30,617"
E09000012,Hackney,2007-08,All recorded offences,143.6,"32,241"
E09000013,Hammersmith and Fulham,2007-08,All recorded offences,131.6,"23,219"
E09000014,Haringey,2007-08,All recorded offences,124.5,"29,487"
E09000015,Harrow,2007-08,All recorded offences,62.2,"14,074"
E09000016,Havering,2007-08,All recorded offences,74.9,"17,200"
E09000017,Hillingdon,2007-08,All recorded offences,102.7,"26,399"
E09000018,Hounslow,2007-08,All recorded offences,101.2,"23,623"
E09000019,Islington,2007-08,All recorded offences,160.2,"30,228"
E09000020,Kensington and Chelsea,2007-08,All recorded offences,144.2,"23,485"
E09000021,Kingston upon Thames,2007-08,All recorded offences,79.5,"12,276"
E09000022,Lambeth,2007-08,All recorded offences,125.8,"35,855"
E09000023,Lewisham,2007-08,All recorded offences,118.9,"31,055"
E09000024,Merton,2007-08,All recorded offences,77.3,"15,025"
E09000025,Newham,2007-08,All recorded offences,133.1,"35,448"
E09000026,Redbridge,2007-08,All recorded offences,86.7,"22,544"
E09000027,Richmond upon Thames,2007-08,All recorded offences,66.2,"12,073"
E09000028,Southwark,2007-08,All recorded offences,146.8,"40,029"
E09000029,Sutton,2007-08,All recorded offences,72.4,"13,340"
E09000030,Tower Hamlets,2007-08,All recorded offences,137.1,"30,892"
E09000031,Waltham Forest,2007-08,All recorded offences,109.3,"25,751"
E09000032,Wandsworth,2007-08,All recorded offences,93.7,"27,299"
E09000033,Westminster,2007-08,All recorded offences,289.8,"63,934"
#N/A,Heathrow,2007-08,All recorded offences,n/a,"4,402"
E13000001,Inner London,2007-08,All recorded offences,144.7,"438,570"
E13000002,Outer London,2007-08,All recorded offences,89.9,"419,060"
E12000007,Met Police Area,2007-08,All recorded offences,112,"862,032"
727,England and Wales,2007-08,All recorded offences,89.8,"4,882,796"
E09000002,Barking and Dagenham,2008-09,All recorded offences,115.9,"19,987"
E09000003,Barnet,2008-09,All recorded offences,77.8,"26,374"
E09000004,Bexley,2008-09,All recorded offences,71.3,"16,171"
E09000005,Brent,2008-09,All recorded offences,93.5,"27,213"
E09000006,Bromley,2008-09,All recorded offences,86.4,"26,350"
E09000007,Camden,2008-09,All recorded offences,162.5,"34,175"
E09000008,Croydon,2008-09,All recorded offences,93.9,"32,789"
E09000009,Ealing,2008-09,All recorded offences,101.1,"32,747"
E09000010,Enfield,2008-09,All recorded offences,82.5,"24,533"
E09000011,Greenwich,2008-09,All recorded offences,119.6,"28,677"
E09000012,Hackney,2008-09,All recorded offences,128.6,"29,713"
E09000013,Hammersmith and Fulham,2008-09,All recorded offences,129.5,"22,928"
E09000014,Haringey,2008-09,All recorded offences,112,"27,379"
E09000015,Harrow,2008-09,All recorded offences,65.5,"15,047"
E09000016,Havering,2008-09,All recorded offences,77.7,"18,020"
E09000017,Hillingdon,2008-09,All recorded offences,97.4,"25,420"
E09000018,Hounslow,2008-09,All recorded offences,99.8,"23,748"
E09000019,Islington,2008-09,All recorded offences,153,"29,383"
E09000020,Kensington and Chelsea,2008-09,All recorded offences,135.2,"21,979"
E09000021,Kingston upon Thames,2008-09,All recorded offences,72.4,"11,296"
E09000022,Lambeth,2008-09,All recorded offences,121.7,"35,186"
E09000023,Lewisham,2008-09,All recorded offences,118.4,"31,553"
E09000024,Merton,2008-09,All recorded offences,77.3,"15,146"
E09000025,Newham,2008-09,All recorded offences,121.2,"33,519"
E09000026,Redbridge,2008-09,All recorded offences,92,"24,410"
E09000027,Richmond upon Thames,2008-09,All recorded offences,65,"11,885"
E09000028,Southwark,2008-09,All recorded offences,141.8,"39,266"
E09000029,Sutton,2008-09,All recorded offences,74.4,"13,831"
E09000030,Tower Hamlets,2008-09,All recorded offences,119.5,"27,710"
E09000031,Waltham Forest,2008-09,All recorded offences,108.4,"26,240"
E09000032,Wandsworth,2008-09,All recorded offences,85.2,"25,088"
E09000033,Westminster,2008-09,All recorded offences,289.6,"63,331"
#N/A,Heathrow,2008-09,All recorded offences,n/a,"3,817"
E13000001,Inner London,2008-09,All recorded offences,136.8,"421,210"
E13000002,Outer London,2008-09,All recorded offences,88.7,"419,884"
E12000007,Met Police Area,2008-09,All recorded offences,108.2,"844,911"
727,England and Wales,2008-09,All recorded offences,84.6,"4,637,601"
E09000002,Barking and Dagenham,2009-10,All recorded offences,111.7,"19,843"
E09000003,Barnet,2009-10,All recorded offences,76,"26,273"
E09000004,Bexley,2009-10,All recorded offences,67.7,"15,451"
E09000005,Brent,2009-10,All recorded offences,97.4,"29,046"
E09000006,Bromley,2009-10,All recorded offences,77.5,"23,781"
E09000007,Camden,2009-10,All recorded offences,158.6,"33,773"
E09000008,Croydon,2009-10,All recorded offences,94.1,"33,210"
E09000009,Ealing,2009-10,All recorded offences,102,"33,654"
E09000010,Enfield,2009-10,All recorded offences,81,"24,459"
E09000011,Greenwich,2009-10,All recorded offences,105.1,"25,622"
E09000012,Hackney,2009-10,All recorded offences,121.4,"28,721"
E09000013,Hammersmith and Fulham,2009-10,All recorded offences,127,"22,867"
E09000014,Haringey,2009-10,All recorded offences,103.1,"25,743"
E09000015,Harrow,2009-10,All recorded offences,65.9,"15,392"
E09000016,Havering,2009-10,All recorded offences,73.3,"17,153"
E09000017,Hillingdon,2009-10,All recorded offences,91,"24,165"
E09000018,Hounslow,2009-10,All recorded offences,95.1,"23,142"
E09000019,Islington,2009-10,All recorded offences,144.5,"28,432"
E09000020,Kensington and Chelsea,2009-10,All recorded offences,129,"20,883"
E09000021,Kingston upon Thames,2009-10,All recorded offences,70,"11,012"
E09000022,Lambeth,2009-10,All recorded offences,120.6,"35,458"
E09000023,Lewisham,2009-10,All recorded offences,109.3,"29,553"
E09000024,Merton,2009-10,All recorded offences,74.9,"14,840"
E09000025,Newham,2009-10,All recorded offences,119.6,"34,259"
E09000026,Redbridge,2009-10,All recorded offences,88.9,"24,034"
E09000027,Richmond upon Thames,2009-10,All recorded offences,62.5,"11,529"
E09000028,Southwark,2009-10,All recorded offences,131.8,"37,048"
E09000029,Sutton,2009-10,All recorded offences,69.3,"13,033"
E09000030,Tower Hamlets,2009-10,All recorded offences,112.2,"26,990"
E09000031,Waltham Forest,2009-10,All recorded offences,109.9,"27,266"
E09000032,Wandsworth,2009-10,All recorded offences,85.1,"25,469"
E09000033,Westminster,2009-10,All recorded offences,295.1,"64,022"
#N/A,Heathrow,2009-10,All recorded offences,n/a,"3,283"
E13000001,Inner London,2009-10,All recorded offences,131.8,"413,218"
E13000002,Outer London,2009-10,All recorded offences,85.9,"412,905"
E12000007,Met Police Area,2009-10,All recorded offences,104.4,"829,406"
727,England and Wales,2009-10,All recorded offences,77.5,"4,278,530"
E09000002,Barking and Dagenham,2010-11,All recorded offences,104.9,"19,177"
E09000003,Barnet,2010-11,All recorded offences,73.1,"25,701"
E09000004,Bexley,2010-11,All recorded offences,59.6,"13,739"
E09000005,Brent,2010-11,All recorded offences,96.8,"29,492"
E09000006,Bromley,2010-11,All recorded offences,71.4,"22,031"
E09000007,Camden,2010-11,All recorded offences,159.3,"34,205"
E09000008,Croydon,2010-11,All recorded offences,90.2,"32,292"
E09000009,Ealing,2010-11,All recorded offences,104.9,"35,030"
E09000010,Enfield,2010-11,All recorded offences,76.9,"23,657"
E09000011,Greenwich,2010-11,All recorded offences,96.8,"24,130"
E09000012,Hackney,2010-11,All recorded offences,115.9,"28,016"
E09000013,Hammersmith and Fulham,2010-11,All recorded offences,133.5,"24,151"
E09000014,Haringey,2010-11,All recorded offences,97.3,"24,588"
E09000015,Harrow,2010-11,All recorded offences,63.1,"14,973"
E09000016,Havering,2010-11,All recorded offences,74.4,"17,581"
E09000017,Hillingdon,2010-11,All recorded offences,87.3,"23,535"
E09000018,Hounslow,2010-11,All recorded offences,95.7,"23,855"
